Name	Value	Time
txInjected-average	0	2019-12-25T00:42:54.717Z
txInjected-total	0	2019-12-25T00:42:54.717Z
txApplied-average	0	2019-12-25T00:42:54.717Z
txApplied-total	0	2019-12-25T00:42:54.717Z
txRejected-average	0	2019-12-25T00:42:54.717Z
txRejected-total	0	2019-12-25T00:42:54.717Z
txExpired-average	0	2019-12-25T00:42:54.717Z
txExpired-total	0	2019-12-25T00:42:54.717Z
txProcessed-average	0	2019-12-25T00:42:54.717Z
txProcessed-total	0	2019-12-25T00:42:54.717Z
queueLength-average	0	2019-12-25T00:42:54.717Z
queueLength-value	0	2019-12-25T00:42:54.717Z
serverLoad-average	0	2019-12-25T00:42:54.717Z
serverLoad-value	0	2019-12-25T00:42:54.717Z
txTimeInQueue-average	0	2019-12-25T00:42:54.717Z
txInjected-average	0	2019-12-25T00:42:55.716Z
txInjected-total	0	2019-12-25T00:42:55.716Z
txApplied-average	0	2019-12-25T00:42:55.716Z
txApplied-total	0	2019-12-25T00:42:55.716Z
txRejected-average	0	2019-12-25T00:42:55.716Z
txRejected-total	0	2019-12-25T00:42:55.716Z
txExpired-average	0	2019-12-25T00:42:55.716Z
txExpired-total	0	2019-12-25T00:42:55.716Z
txProcessed-average	0	2019-12-25T00:42:55.716Z
txProcessed-total	0	2019-12-25T00:42:55.716Z
queueLength-average	0	2019-12-25T00:42:55.716Z
queueLength-value	0	2019-12-25T00:42:55.716Z
serverLoad-average	0	2019-12-25T00:42:55.716Z
serverLoad-value	0	2019-12-25T00:42:55.716Z
txTimeInQueue-average	0	2019-12-25T00:42:55.716Z
txInjected-average	0	2019-12-25T00:42:56.719Z
txInjected-total	0	2019-12-25T00:42:56.719Z
txApplied-average	0	2019-12-25T00:42:56.719Z
txApplied-total	0	2019-12-25T00:42:56.719Z
txRejected-average	0	2019-12-25T00:42:56.719Z
txRejected-total	0	2019-12-25T00:42:56.719Z
txExpired-average	0	2019-12-25T00:42:56.719Z
txExpired-total	0	2019-12-25T00:42:56.719Z
txProcessed-average	0	2019-12-25T00:42:56.719Z
txProcessed-total	0	2019-12-25T00:42:56.719Z
queueLength-average	0	2019-12-25T00:42:56.719Z
queueLength-value	0	2019-12-25T00:42:56.719Z
serverLoad-average	0	2019-12-25T00:42:56.719Z
serverLoad-value	0	2019-12-25T00:42:56.719Z
txTimeInQueue-average	0	2019-12-25T00:42:56.719Z
txInjected-average	0	2019-12-25T00:42:57.720Z
txInjected-total	0	2019-12-25T00:42:57.720Z
txApplied-average	0	2019-12-25T00:42:57.720Z
txApplied-total	0	2019-12-25T00:42:57.720Z
txRejected-average	0	2019-12-25T00:42:57.720Z
txRejected-total	0	2019-12-25T00:42:57.720Z
txExpired-average	0	2019-12-25T00:42:57.720Z
txExpired-total	0	2019-12-25T00:42:57.720Z
txProcessed-average	0	2019-12-25T00:42:57.720Z
txProcessed-total	0	2019-12-25T00:42:57.720Z
queueLength-average	0	2019-12-25T00:42:57.720Z
queueLength-value	0	2019-12-25T00:42:57.720Z
serverLoad-average	0	2019-12-25T00:42:57.720Z
serverLoad-value	0	2019-12-25T00:42:57.720Z
txTimeInQueue-average	0	2019-12-25T00:42:57.720Z
txInjected-average	0	2019-12-25T00:42:58.723Z
txInjected-total	0	2019-12-25T00:42:58.723Z
txApplied-average	0	2019-12-25T00:42:58.723Z
txApplied-total	0	2019-12-25T00:42:58.723Z
txRejected-average	0	2019-12-25T00:42:58.723Z
txRejected-total	0	2019-12-25T00:42:58.723Z
txExpired-average	0	2019-12-25T00:42:58.723Z
txExpired-total	0	2019-12-25T00:42:58.723Z
txProcessed-average	0	2019-12-25T00:42:58.723Z
txProcessed-total	0	2019-12-25T00:42:58.723Z
queueLength-average	0	2019-12-25T00:42:58.723Z
queueLength-value	0	2019-12-25T00:42:58.723Z
serverLoad-average	0	2019-12-25T00:42:58.723Z
serverLoad-value	0	2019-12-25T00:42:58.723Z
txTimeInQueue-average	0	2019-12-25T00:42:58.723Z
txInjected-average	0	2019-12-25T00:42:59.726Z
txInjected-total	0	2019-12-25T00:42:59.726Z
txApplied-average	0	2019-12-25T00:42:59.726Z
txApplied-total	0	2019-12-25T00:42:59.726Z
txRejected-average	0	2019-12-25T00:42:59.726Z
txRejected-total	0	2019-12-25T00:42:59.726Z
txExpired-average	0	2019-12-25T00:42:59.726Z
txExpired-total	0	2019-12-25T00:42:59.726Z
txProcessed-average	0	2019-12-25T00:42:59.726Z
txProcessed-total	0	2019-12-25T00:42:59.726Z
queueLength-average	0	2019-12-25T00:42:59.726Z
queueLength-value	0	2019-12-25T00:42:59.726Z
serverLoad-average	0	2019-12-25T00:42:59.726Z
serverLoad-value	0	2019-12-25T00:42:59.726Z
txTimeInQueue-average	0	2019-12-25T00:42:59.726Z
txInjected-average	0	2019-12-25T00:43:00.727Z
txInjected-total	0	2019-12-25T00:43:00.727Z
txApplied-average	0	2019-12-25T00:43:00.727Z
txApplied-total	0	2019-12-25T00:43:00.727Z
txRejected-average	0	2019-12-25T00:43:00.727Z
txRejected-total	0	2019-12-25T00:43:00.727Z
txExpired-average	0	2019-12-25T00:43:00.727Z
txExpired-total	0	2019-12-25T00:43:00.727Z
txProcessed-average	0	2019-12-25T00:43:00.727Z
txProcessed-total	0	2019-12-25T00:43:00.727Z
queueLength-average	0	2019-12-25T00:43:00.727Z
queueLength-value	0	2019-12-25T00:43:00.727Z
serverLoad-average	0	2019-12-25T00:43:00.727Z
serverLoad-value	0	2019-12-25T00:43:00.727Z
txTimeInQueue-average	0	2019-12-25T00:43:00.727Z
txInjected-average	0	2019-12-25T00:43:01.730Z
txInjected-total	0	2019-12-25T00:43:01.730Z
txApplied-average	0	2019-12-25T00:43:01.730Z
txApplied-total	0	2019-12-25T00:43:01.730Z
txRejected-average	0	2019-12-25T00:43:01.730Z
txRejected-total	0	2019-12-25T00:43:01.730Z
txExpired-average	0	2019-12-25T00:43:01.730Z
txExpired-total	0	2019-12-25T00:43:01.730Z
txProcessed-average	0	2019-12-25T00:43:01.730Z
txProcessed-total	0	2019-12-25T00:43:01.730Z
queueLength-average	0	2019-12-25T00:43:01.730Z
queueLength-value	0	2019-12-25T00:43:01.730Z
serverLoad-average	0	2019-12-25T00:43:01.730Z
serverLoad-value	0	2019-12-25T00:43:01.730Z
