Name	Value	Time
txInjected-average	0	2020-01-30T21:21:34.039Z
txInjected-total	0	2020-01-30T21:21:34.039Z
txApplied-average	0	2020-01-30T21:21:34.039Z
txApplied-total	0	2020-01-30T21:21:34.039Z
txRejected-average	0	2020-01-30T21:21:34.039Z
txRejected-total	0	2020-01-30T21:21:34.039Z
txExpired-average	0	2020-01-30T21:21:34.039Z
txExpired-total	0	2020-01-30T21:21:34.039Z
txProcessed-average	0	2020-01-30T21:21:34.039Z
txProcessed-total	0	2020-01-30T21:21:34.039Z
queueLength-average	0	2020-01-30T21:21:34.039Z
queueLength-value	0	2020-01-30T21:21:34.039Z
serverLoad-average	0	2020-01-30T21:21:34.039Z
serverLoad-value	0	2020-01-30T21:21:34.039Z
txTimeInQueue-average	0	2020-01-30T21:21:34.039Z
txInjected-average	0	2020-01-30T21:21:35.040Z
txInjected-total	0	2020-01-30T21:21:35.040Z
txApplied-average	0	2020-01-30T21:21:35.040Z
txApplied-total	0	2020-01-30T21:21:35.040Z
txRejected-average	0	2020-01-30T21:21:35.040Z
txRejected-total	0	2020-01-30T21:21:35.040Z
txExpired-average	0	2020-01-30T21:21:35.040Z
txExpired-total	0	2020-01-30T21:21:35.040Z
txProcessed-average	0	2020-01-30T21:21:35.040Z
txProcessed-total	0	2020-01-30T21:21:35.040Z
queueLength-average	0	2020-01-30T21:21:35.040Z
queueLength-value	0	2020-01-30T21:21:35.040Z
serverLoad-average	0	2020-01-30T21:21:35.040Z
serverLoad-value	0	2020-01-30T21:21:35.040Z
txTimeInQueue-average	0	2020-01-30T21:21:35.040Z
txInjected-average	0	2020-01-30T21:21:36.041Z
txInjected-total	0	2020-01-30T21:21:36.041Z
txApplied-average	0	2020-01-30T21:21:36.041Z
txApplied-total	0	2020-01-30T21:21:36.041Z
txRejected-average	0	2020-01-30T21:21:36.041Z
txRejected-total	0	2020-01-30T21:21:36.041Z
txExpired-average	0	2020-01-30T21:21:36.041Z
txExpired-total	0	2020-01-30T21:21:36.041Z
txProcessed-average	0	2020-01-30T21:21:36.041Z
txProcessed-total	0	2020-01-30T21:21:36.041Z
queueLength-average	0	2020-01-30T21:21:36.041Z
queueLength-value	0	2020-01-30T21:21:36.041Z
serverLoad-average	0	2020-01-30T21:21:36.041Z
serverLoad-value	0	2020-01-30T21:21:36.041Z
txTimeInQueue-average	0	2020-01-30T21:21:36.041Z
txInjected-average	0	2020-01-30T21:21:37.043Z
txInjected-total	0	2020-01-30T21:21:37.043Z
txApplied-average	0	2020-01-30T21:21:37.043Z
txApplied-total	0	2020-01-30T21:21:37.043Z
txRejected-average	0	2020-01-30T21:21:37.043Z
txRejected-total	0	2020-01-30T21:21:37.043Z
txExpired-average	0	2020-01-30T21:21:37.043Z
txExpired-total	0	2020-01-30T21:21:37.043Z
txProcessed-average	0	2020-01-30T21:21:37.043Z
txProcessed-total	0	2020-01-30T21:21:37.043Z
queueLength-average	0	2020-01-30T21:21:37.043Z
queueLength-value	0	2020-01-30T21:21:37.043Z
serverLoad-average	0	2020-01-30T21:21:37.043Z
serverLoad-value	0	2020-01-30T21:21:37.043Z
txTimeInQueue-average	0	2020-01-30T21:21:37.043Z
txInjected-average	0	2020-01-30T21:21:38.043Z
txInjected-total	0	2020-01-30T21:21:38.043Z
txApplied-average	0	2020-01-30T21:21:38.043Z
txApplied-total	0	2020-01-30T21:21:38.043Z
txRejected-average	0	2020-01-30T21:21:38.043Z
txRejected-total	0	2020-01-30T21:21:38.043Z
txExpired-average	0	2020-01-30T21:21:38.043Z
txExpired-total	0	2020-01-30T21:21:38.043Z
txProcessed-average	0	2020-01-30T21:21:38.043Z
txProcessed-total	0	2020-01-30T21:21:38.043Z
queueLength-average	0	2020-01-30T21:21:38.043Z
queueLength-value	0	2020-01-30T21:21:38.043Z
serverLoad-average	0	2020-01-30T21:21:38.043Z
serverLoad-value	0	2020-01-30T21:21:38.043Z
txTimeInQueue-average	0	2020-01-30T21:21:38.043Z
txInjected-average	0	2020-01-30T21:21:39.043Z
txInjected-total	0	2020-01-30T21:21:39.043Z
txApplied-average	0	2020-01-30T21:21:39.043Z
txApplied-total	0	2020-01-30T21:21:39.043Z
txRejected-average	0	2020-01-30T21:21:39.043Z
txRejected-total	0	2020-01-30T21:21:39.043Z
txExpired-average	0	2020-01-30T21:21:39.043Z
txExpired-total	0	2020-01-30T21:21:39.043Z
txProcessed-average	0	2020-01-30T21:21:39.043Z
txProcessed-total	0	2020-01-30T21:21:39.043Z
queueLength-average	0	2020-01-30T21:21:39.043Z
queueLength-value	0	2020-01-30T21:21:39.043Z
serverLoad-average	0	2020-01-30T21:21:39.043Z
serverLoad-value	0	2020-01-30T21:21:39.043Z
txTimeInQueue-average	0	2020-01-30T21:21:39.043Z
txInjected-average	0	2020-01-30T21:21:40.043Z
txInjected-total	0	2020-01-30T21:21:40.043Z
txApplied-average	0	2020-01-30T21:21:40.043Z
txApplied-total	0	2020-01-30T21:21:40.043Z
txRejected-average	0	2020-01-30T21:21:40.043Z
txRejected-total	0	2020-01-30T21:21:40.043Z
txExpired-average	0	2020-01-30T21:21:40.043Z
txExpired-total	0	2020-01-30T21:21:40.043Z
txProcessed-average	0	2020-01-30T21:21:40.043Z
txProcessed-total	0	2020-01-30T21:21:40.043Z
queueLength-average	0	2020-01-30T21:21:40.043Z
queueLength-value	0	2020-01-30T21:21:40.043Z
serverLoad-average	0	2020-01-30T21:21:40.043Z
serverLoad-value	0	2020-01-30T21:21:40.043Z
txTimeInQueue-average	0	2020-01-30T21:21:40.043Z
txInjected-average	0	2020-01-30T21:21:41.044Z
txInjected-total	0	2020-01-30T21:21:41.044Z
txApplied-average	0	2020-01-30T21:21:41.044Z
txApplied-total	0	2020-01-30T21:21:41.044Z
txRejected-average	0	2020-01-30T21:21:41.044Z
txRejected-total	0	2020-01-30T21:21:41.044Z
txExpired-average	0	2020-01-30T21:21:41.044Z
txExpired-total	0	2020-01-30T21:21:41.044Z
txProcessed-average	0	2020-01-30T21:21:41.044Z
txProcessed-total	0	2020-01-30T21:21:41.044Z
queueLength-average	0	2020-01-30T21:21:41.044Z
queueLength-value	0	2020-01-30T21:21:41.044Z
serverLoad-average	0	2020-01-30T21:21:41.044Z
serverLoad-value	0	2020-01-30T21:21:41.044Z
txTimeInQueue-average	0	2020-01-30T21:21:41.044Z
txInjected-average	0	2020-01-30T21:21:42.045Z
txInjected-total	0	2020-01-30T21:21:42.045Z
txApplied-average	0	2020-01-30T21:21:42.045Z
txApplied-total	0	2020-01-30T21:21:42.045Z
txRejected-average	0	2020-01-30T21:21:42.045Z
txRejected-total	0	2020-01-30T21:21:42.045Z
txExpired-average	0	2020-01-30T21:21:42.045Z
txExpired-total	0	2020-01-30T21:21:42.045Z
txProcessed-average	0	2020-01-30T21:21:42.045Z
txProcessed-total	0	2020-01-30T21:21:42.045Z
queueLength-average	0	2020-01-30T21:21:42.045Z
queueLength-value	0	2020-01-30T21:21:42.045Z
serverLoad-average	0	2020-01-30T21:21:42.045Z
serverLoad-value	0	2020-01-30T21:21:42.045Z
txTimeInQueue-average	0	2020-01-30T21:21:42.045Z
txInjected-average	0	2020-01-30T21:21:43.046Z
txInjected-total	0	2020-01-30T21:21:43.046Z
txApplied-average	0	2020-01-30T21:21:43.046Z
txApplied-total	0	2020-01-30T21:21:43.046Z
txRejected-average	0	2020-01-30T21:21:43.046Z
txRejected-total	0	2020-01-30T21:21:43.046Z
txExpired-average	0	2020-01-30T21:21:43.046Z
txExpired-total	0	2020-01-30T21:21:43.046Z
txProcessed-average	0	2020-01-30T21:21:43.046Z
txProcessed-total	0	2020-01-30T21:21:43.046Z
queueLength-average	0	2020-01-30T21:21:43.046Z
queueLength-value	0	2020-01-30T21:21:43.046Z
serverLoad-average	0	2020-01-30T21:21:43.046Z
serverLoad-value	0	2020-01-30T21:21:43.046Z
txTimeInQueue-average	0	2020-01-30T21:21:43.046Z
txInjected-average	0	2020-01-30T21:21:44.047Z
txInjected-total	0	2020-01-30T21:21:44.047Z
txApplied-average	0	2020-01-30T21:21:44.047Z
txApplied-total	0	2020-01-30T21:21:44.047Z
txRejected-average	0	2020-01-30T21:21:44.047Z
txRejected-total	0	2020-01-30T21:21:44.047Z
txExpired-average	0	2020-01-30T21:21:44.047Z
txExpired-total	0	2020-01-30T21:21:44.047Z
txProcessed-average	0	2020-01-30T21:21:44.047Z
txProcessed-total	0	2020-01-30T21:21:44.047Z
queueLength-average	0	2020-01-30T21:21:44.047Z
queueLength-value	0	2020-01-30T21:21:44.047Z
serverLoad-average	0	2020-01-30T21:21:44.047Z
serverLoad-value	0	2020-01-30T21:21:44.047Z
txTimeInQueue-average	0	2020-01-30T21:21:44.047Z
txInjected-average	0	2020-01-30T21:21:45.048Z
txInjected-total	0	2020-01-30T21:21:45.048Z
txApplied-average	0	2020-01-30T21:21:45.048Z
txApplied-total	0	2020-01-30T21:21:45.048Z
txRejected-average	0	2020-01-30T21:21:45.048Z
txRejected-total	0	2020-01-30T21:21:45.048Z
txExpired-average	0	2020-01-30T21:21:45.048Z
txExpired-total	0	2020-01-30T21:21:45.048Z
txProcessed-average	0	2020-01-30T21:21:45.048Z
txProcessed-total	0	2020-01-30T21:21:45.048Z
queueLength-average	0	2020-01-30T21:21:45.048Z
queueLength-value	0	2020-01-30T21:21:45.048Z
serverLoad-average	0	2020-01-30T21:21:45.048Z
serverLoad-value	0	2020-01-30T21:21:45.048Z
txTimeInQueue-average	0	2020-01-30T21:21:45.048Z
txInjected-average	0	2020-01-30T21:21:46.049Z
txInjected-total	0	2020-01-30T21:21:46.049Z
txApplied-average	0	2020-01-30T21:21:46.049Z
txApplied-total	0	2020-01-30T21:21:46.049Z
txRejected-average	0	2020-01-30T21:21:46.049Z
txRejected-total	0	2020-01-30T21:21:46.049Z
txExpired-average	0	2020-01-30T21:21:46.049Z
txExpired-total	0	2020-01-30T21:21:46.049Z
txProcessed-average	0	2020-01-30T21:21:46.049Z
txProcessed-total	0	2020-01-30T21:21:46.049Z
queueLength-average	0	2020-01-30T21:21:46.049Z
queueLength-value	0	2020-01-30T21:21:46.049Z
serverLoad-average	0	2020-01-30T21:21:46.049Z
